Facility ID,Facility Name,Address Line 1,Address Line 2,City,State,ZIP,Latitude,Longitude,Total Rated Electric Generation (kW),Total Rated Heat Generation (MBtu/h),Total Rated Electrical Discharge Capacity (kW),Total Rated Electrical Storage Capacity (kWh),Total Rated Cooling Energy Discharge Capacity (ton),Total Equivalent Electrical Discharge Capacity from Cooling Sources (kW),Total Rated Cooling Energy Storage Capacity (ton-hour),Total Equivalent Electrical Storage Capacity from Cooling Sources (kWh),Total Rated Thermal Energy Discharge Capacity (MBtu/h),Total Equivalent Electrical Discharge Capacity from Thermal Sources (kW),Total Rated Thermal Energy Storage Capacity (MBtu),Total Equivalent Electrical Storage Capacity from Thermal Sources (kWh),Facility Submits Data on Electricity Imported from Utility?,Source Weather Station for Ambient Temperature Data,Metric Data Last Modified,Installed Systems,Alternate Name(s),Facility Website (external),Category,Subcategory,Floor Area (ft²),No. of Occupancy Units,Electric Utility,Gas Utility,NYISO Zone,Located in Flood Plain
1023,Facility A in zip code 13088,,,Liverpool,NY,13088,43.112004,-76.189613,0,0,0,0,0,0,960,0,0,0,0,0,FALSE,Custom,8/2/19 13:57,1,,,,,,,National Grid - Upstate NY (Niagara Mohawk),,C - Central,
1024,Facility A in zip code 13602,,,Watertown,NY,13601,43.968892,-75.906501,0,0,0,0,0,0,1280,0,0,0,0,0,FALSE,Custom,8/2/19 13:57,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,E - Mohawk Valley,
1025,Facility A in zip code 13673,,,Philadelphia,NY,13673,44.164347,-75.718028,0,0,0,0,0,0,320,0,0,0,0,0,FALSE,Custom,8/2/19 13:57,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,E - Mohawk Valley,
1026,Facility A in zip code 13676,,,Potsdam,NY,13676,44.65496,-74.926222,0,0,0,0,0,0,1500,0,0,0,0,0,FALSE,Custom,8/2/19 13:57,1,,,Health Care (Outpatient),Outpatient Rehabilitation,,,National Grid - Upstate NY (Niagara Mohawk),,E - Mohawk Valley,
1027,Facility A in zip code 13820,,,Oneonta,NY,13820,42.483412,-75.036892,0,0,0,0,0,0,320,0,0,0,0,0,FALSE,Custom,8/2/19 13:57,1,,,,,,,New York State Electric and Gas,,E - Mohawk Valley,
1028,Facility A in zip code 14059,,,Elma,NY,14059,42.833552,-78.634046,0,0,0,0,0,0,1120,0,0,0,0,0,FALSE,Custom,8/2/19 13:57,1,,,,,,,New York State Electric and Gas,,A - West,
1029,Facility A in zip code 14094,,,Lockport,NY,14094,43.157758,-78.701995,0,0,0,0,0,0,1440,0,0,0,0,0,FALSE,Custom,8/2/19 13:57,1,,,Public Assembly,Recreation,,,National Grid - Upstate NY (Niagara Mohawk),,A - West,
1030,Facility A in zip code 14136,,,Silver Creek,NY,14136,42.517379,-79.174812,0,0,0,0,0,0,1440,0,0,0,0,0,FALSE,Custom,8/2/19 13:56,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,A - West,
1031,Facility A in zip code 14202,,,Buffalo,NY,14202,42.881493,-78.877484,0,0,0,0,0,0,25920,0,0,0,0,0,FALSE,Custom,8/2/19 13:55,1,,,Public Assembly,Entertainment or Culture,,,National Grid - Upstate NY (Niagara Mohawk),,A - West,
1032,Facility A in zip code 14206,,,Cheektowaga,NY,14206,42.880078,-78.810469,0,0,0,0,0,0,800,0,0,0,0,0,FALSE,Custom,8/2/19 13:56,1,,,,,,,New York State Electric and Gas,,A - West,
1033,Facility A in zip code 14472,,,Honeoye,NY,14472,42.966819,-77.575134,0,0,0,0,0,0,480,0,0,0,0,0,FALSE,Custom,8/2/19 13:56,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,B - Genessee,
1034,Facility A in zip code 14482,,,Le Roy,NY,14482,42.978904,-77.971534,0,0,0,0,0,0,800,0,0,0,0,0,FALSE,Custom,8/2/19 13:56,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,A - West,
