Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed In-Service,Proposed Initial-Sync,Proposed COD
96,Calpine Eastern Corporation,"CPN 3rd Turbine, Inc. (JFK)",5/29/01,45,,CT,Queens,NY,J,Jamaica 138kV,CONED,0,7/10/08,,,,,
97,NYSEG Solutions,South Glens Falls Expansion,6/15/01,40,,,,,,Mohican-Butler#18 line,NM-NG,0,,,,,,
98,TransEnergie US Ltd.,PJM-New York City HVDC,6/22/01,990,,,,,,W49th St and/or Farragut,CONED,0,,,,,,
100,"Titan Development, LLC",Blooming Grove Power,7/2/01,500,,,,,,Rock Tavern-Ramapo line,CONED,0,,,,,,
101,Northeast Utilities Service Co.,NU CT-LI HVDC Cable,7/13/01,660,,,,,,Shore Road,LIPA,0,,,,,,
102,Entergy Power Gen. Corp.,Indian Point Energy Center,7/23/01,400,,CT,Westchester,NY,,Buchanan 345kV,CONED,0,,,,,,
103,"Pegasus Trans. Co., Ltd.",Niagara Reinforcement Inter.,8/15/01,1200,,DC,Oneida-New York,NY,,"Marcy,Edic,Porter - W49th St.",NYPA/NM/CE,0,,,,,,
104,"PG&E/Liberty Gen. Co., LLC",Jupiter PJM-NYC Cable,8/24/01,1200,,,,,,W49th St or Farragut,CONED,0,,,,,,
105,Calpine Eastern Corporation,Titan Smith Street,10/5/01,79.9,,CT,Kings,NY,,Gowanus 138 or 345 kV,CONED,0,3/6/19,,,,,
106,"TransGas Energy, LLC",TransGas Energy,10/5/01,1100,,CC,Kings,NY,J,"E13St, Rainey, or Farragut-345kV",CONED,0,3/1/12,,,,,
108,Sempra Generation,SE Long Island,11/29/01,575,,CT,Suffolk,NY,,Shoreham-Holbrook lines 138kV,LIPA,0,,,,,,
109,Calpine Eastern Corporation,Maspeth,1/25/02,79.9,,,,,,Vernon-Glendale line,CONED,0,,,,,,
110,"PG&E/Liberty Gen. Co., LLC",Liberty Generation,2/4/02,400,,CT,Richmond-NJ,NY,,Goethals 345kV,CONED,0,3/6/19,,,,,
111,"River Hill Power Co., LLC",River Hill Project,2/5/02,290,,CT,Chemung-PA,NY,C,Homer City-Watercure 345kV,NYSEG,0,7/10/08,,,,,
112,TransEnergie US Ltd.,PJM-Rainey HVDC,4/9/02,660,,DC,Queens-NJ,NY,,Rainey 345kV,CONED,0,5/31/06,,,,,
113,"Windfarm Prattsburgh, LLC",Prattsburgh Wind Park,4/22/02,55.5,,W,Yates,NY,C,Eelpot Rd-Flat St. 115kV,NYSEG,0,3/31/10,,,,,
114,"Global Winds Harvest, Inc.",Cherry Valley Wind Park,4/22/02,40.5,,,,,,East Springfield,NYSEG,0,,,,,,
116,"PG&E/Liberty Gen. Co., LLC","Liberty Gen Co, LLC",4/29/02,600,,,,,,Goethals,CONED,0,,,,,,
117,"Chautauqua Windpower, LLC",Chautauqua Windpower,5/14/02,50,,W,Chautauqua,NY,,Dunkirk-S. Ripley 230kV,NM-NG,0,3/27/07,,,,,
118,"Global Winds Harvest, Inc.",Prattsburgh Wind Park II,5/15/02,75,,,,,,Eelpot Rd-Flat St. line,NYSEG,0,,,,,,
119,"ECOGEN, LLC",Prattsburgh Wind Farm,5/20/02,78.2,,W,Yates,NY,C,Eelpot Rd-Flat St. 115kV,NYSEG,0,10/31/13,,,,,
120,"ECOGEN, LLC",Springwater Wind Farm,5/20/02,79.5,,,,,,Eelpot Rd,NYSEG,0,,,,,,
124,"Bay Energy, LLC",Bay Energy Project,7/1/02,79.9,,CT,Kings,NY,,Gowanus 138kV,CONED,0,,,,,,
126,TransEnergie US Ltd.,PJM-Newbridge Rd HVDC,9/10/02,350,,DC,,,,Newbridge Road 138kV,LIPA,0,5/31/06,,,,,
127,KeySpan Energy for LIPA,Northport-Norwalk Upgrade,9/19/02,150,,,,,,Northport,LIPA,0,,,,,,
0127A,"Airtricity Munnsville Wind Farm, LLC",Munnsville,10/9/02,6,,W,Madison,NY,E,46kV line,NYSEG,0,1/31/14,,,,,
128,"Flat Rock Wind Power, LLC",Flat Rock Wind Power 230 kV,11/20/02,240,,W,,,,Adirondack-Porter line,NM-NG,0,,,,,,
129,"Conjunction, LLC",Empire Connection,12/10/02,2000,,DC,,,,New Scotland / ConEd,NM-NG/CONED,0,,,,,,
130,"Electrotek Concepts, Inc.",Grace Corona Generation,1/14/03,79.9,,,,,,Corona,CONED,0,,,,,,
131,"Green Power Energy, LLC",Cody Road Wind Farm,3/5/03,10.5,,W,,,,Oneida-Cortland line,NM-NG,0,,,,,,
132,"Airtricity Developments, LLC",Munnsville Windpower,5/11/03,40,,W,,,,NYSEG Ckt 806,NYSEG,0,,,,,,
134,TransEnergie US Ltd.,PJM-Barrett HVDC,5/21/03,650,,,,,,Barrett 138 kV,LIPA,0,,,,,,
137,"Conjunction, LLC",Empire Connection DC,6/16/03,2000,,,,,,"N. Scotland/Leeds, ConEd",NM/CONED,0,,,,,,
140,National Grid,Leeds-PV Reconductoring,8/26/03,N/A,,AC,Greene-Dutchess,NY,G,Leeds/Athens-Pl. Valley 345kV,NM-NG,0,7/10/08,,,,,
0141A,Atlantic Renewable Energy Corp.,Bishop,9/9/03,23.1,,W,Livingston,NY,,Springwater 34.5kV line,NYSEG,0,,,,,,
142,"EC&R Northeast, LLC",Steuben Wind,10/30/03,50,,W,Steuben,NY,C,Bennett-Palmiter 115kV line,NYSEG,0,6/4/10,,,,,
147,"NY Windpower, LLC",West Hill Windfarm,4/16/04,31.5,,W,Madison,NY,C,Oneida-Fenner 115kV,NM-NG,0,8/31/12,,,,,
148,"Trigen Nassau Gen Co., LLC",Trigen-Nassau,5/18/04,79.9,,,,,,Uniondale Substation,LIPA,0,,,,,,
150,"Reunion Power, LLC",Cherry Valley Wind Power,6/17/04,70,,W,Ostego,NY,E,Marshville - Sharon 69kV,NM-NG,0,3/31/10,,,,,
151,Con Edison,West Side Switching Station,6/30/04,N/A,,AC,New York,NY,J,West 49th St & Farragut 345kV,CONED,0,3/31/11,,,,,
152,Moresville Energy LLC,Moresville Energy Center,7/23/04,99,99,W,Delaware,NY,E,Axtell Road-Grand Gorge 115kV,NYSEG,0,6/30/11,,,,,
154,KeySpan Energy for LIPA,Holtsville-Brentwood-Pilgrim,8/19/04,N/A,N/A,AC,Suffolk,NY,K,Holtsville & Pilgrim 138kV,LIPA,0,2/28/17,,,,,
155,"Invenergy NY, LLC",Canisteo Hills Windfarm,9/17/04,148.5,,W,Steuben,NY,C,Bennett-Bath 115kV,NYSEG,0,3/1/12,,,,,
157,"BP Alternative Energy NA, Inc.",Orion Energy NY I,10/12/04,100,100,W,Herkimer,NY,E,Watkins Rd.-Inghams 115kV,NM-NG,0,3/1/12,,,,,
158,"Orion Energy, LLC",Orion Energy NY II,10/12/04,100,100,W,Montgomery,NY,,Inghams-Meco 115kV,NM-NG,0,1/6/19,,,,,
159,"Orion Energy, LLC",Orion Energy NY III,10/12/04,150,,,Clinton,NY,,TBD,NYSEG,0,,,,,,
160,"Jericho Rise Wind Farm, LLC",Jericho Rise Wind Farm,10/12/04,79.2,79.2,W,Franklin,NY,D,Willis 115 kV,NYPA,0,4/30/11,,,,,
162,"AES Somerset, LLC",Niagara Windpower,12/15/04,70,,W,Niagara,NY,,Somerset Switch Yard,NYSEG,0,8/5/19,,,,,
163,Clipper Windpower Dev. Co. Inc.,Paragon I Wind Generation,1/13/05,100,100,W,Steuben,NY,C,Bath-Montour Falls 115kV,NYSEG,0,8/19/08,,,,,
164,FPL Energy,Long Island Offshore Wind,1/28/05,140,140,W,Suffolk,NY,,Sterling Substation,LIPA,0,2/26/08,,,,,
165,"UPC Wind Management, LLC",Genesee Wind Farm,1/31/05,500,500,W,Genesee,NY,,Batavia Substation 115kV,NM-NG,0,11/5/19,,,,,
166,"Cape Vincent Wind Power, LLC",St. Lawrence Wind Farm,2/8/05,75.9,75.9,W,Jefferson,NY,E,Rockledge Substation 115kV,NM-NG,0,2/28/14,,,,,
167,"AES New York Wind, LLC",St. Lawrence Wind Farm II,2/8/05,80,,W,Jefferson,NY,,Lyme Substation,NM-NG,0,6/5/19,,,,,
168,"Dairy Hills Wind Farm, LLC",Dairy Hills Wind Farm,2/8/05,120,120,W,Wyoming,NY,C,Stolle Rd.-Meyer 230kV,NYSEG,0,3/1/12,,,,,
169,"Alabama Ledge Wind Farm, LLC",Alabama Ledge Wind Farm,2/8/05,79.8,79.8,W,Genesee,NY,B,Oakfield-Lockport 115kV,NM-NG,0,6/1/12,,,,,
170,"Machias Wind Farm, LLC",Machias Wind Farm,2/8/05,90,90,W,Cattaraugus,NY,,Homer Hill-Gardenville 115kV,NM-NG,0,10/11/06,,,,,
176,"Noble Environmental Power, LLC",Wethersfield Windfield 115kV,2/14/05,129,129,W,Wyoming,NY,,Arcade Substation 115kV,Village of Arcade,0,7/18/06,,,,,
178,"Noble Allegany Windpark, LLC",Allegany Windpark,2/14/05,100.5,100.5,W,Cattaraugus,NY,A,Freedom Substation 115kV,Village of Arcade,0,6/28/10,,,,,
179,"Noble Environmental Power, LLC",Cherry Hill Windpark,2/14/05,102,102,W,Franklin,NY,E,Nicholville-Malone 115kV,NYSEG,0,2/5/09,,,,,
180,"Invenergy Wind, LLC",Buffalo Rd. Wind Farm,2/23/05,165,165,W,Wyoming,NY,,Stolle Rd.-Meyer 230kV,NYSEG,0,1/9/07,,,,,
0180A,Green Power,Cody Rd,3/17/05,10,10,W,Madison,NY,C,Fenner - Cortland 115kV,NM-NG,0,2/28/17,,,,,
181,Everpower Global,Cold Spring Wind,3/21/05,69.3,,W,Cattaraugus,NY,,Falconer-Homer Hill 115kV,NM-NG,0,9/5/19,,,,,
183,"Invenergy Wind, LLC",Buffalo Rd. Wind Farm II,3/28/05,165,165,W,Wyoming,NY,,Batavia 115kV,NYSEG/NM-NG,0,12/5/19,,,,,
184,"Invenergy Wind, LLC",Ripley Hill,3/28/05,75.9,,W,Onondaga,NY,,Town of Spafford,NYSEG/NM-NG,0,8/5/19,,,,,
186,"Jordanville Wind, LLC",Jordanville Wind,4/1/05,80,80,W,Herkimer,NY,E,Porter-Rotterdam 230kV,NM-NG,0,9/30/11,,,,,
187,"North Slope Wind Farm, LLC",North Slope Wind,4/5/05,109.5,109.5,W,Clinton,NY,D,Willis-Plattsburgh 230kV,NYPA,0,2/5/09,,,,,
188,"NY Windpower, LLC",Orangeville Wind,4/5/05,96,,W,Wyoming,NY,,115kV,NYSEG,0,8/5/19,,,,,
189,"Atlantic Wind, LLC",Horse Creek Wind,4/8/05,126,126,W,Jefferson,NY,E,Coffeen St-Thousand Island 115kV,NM-NG,0,4/30/14,,,,,
190,"PPM Energy, Inc.",Mixer Road Wind,4/8/05,66,66,W,Jefferson,NY,,West Adams 115kV,NM-NG,0,10/11/06,,,,,
191,New York Regional,New York Regional,5/13/05,1200,1200,DC,Oneida-Orange,NY,"E, G",Edic - Rock Tavern,NM-NG/CH,0,4/8/09,,,,,
192,"Orion Energy, LLC",Orion Livingston,5/17/05,75,75,W,Livingston,NY,,Stolle Rd.-Meyer 230kV,NYSEG,0,1/6/19,,,,,
193,"Orion Energy, LLC",Orion Wyoming,5/17/05,60,60,W,Wyoming,NY,,South Perry 115kV,NYSEG,0,1/9/07,,,,,
194,Calpine Energy Services,Bayonne,5/26/05,300,300,ST,New York,NY,,World Trade Center 138kV,CONED,0,2/6/19,,,,,
195,Brookfield Power US,Harbor Cable Project II,6/14/05,200,200,DC,Richmond,NY,J,Goethal 345kV,CONED,0,7/31/09,,,,,
196,"Roaring Brook Windpower, LLC",Roaring Brook,7/1/05,79.9,79.8,W,Lewis,NY,,Adirondak-Porter 230kV,NM-NG,0,7/10/06,,,,,
197,"PPM Roaring Brook, LLC / PPM",Roaring Brook Wind,7/1/05,78,78,W,Lewis,NY,E,Boonville-Lowville 115kV,NM-NG,0,4/30/16,,,,,
198,"Arkwright Summit Wind Farm, LLC",Arkwright Summit Wind Farm,7/21/05,79.8,79.8,W,Chautauqua,NY,A,Dunkirk-Falconer 115kV,NM-NG,0,9/30/13,,,,,
200,Cavallo Power,Linden Power I,8/16/05,845,915,CC,New York-NJ,NY,,Goethal Substation,CONED,0,2/6/19,,,,,
